Spice,Cuisine,Origin
Cumin Powder,Portuguese,Mediterranean
Cumin Powder,Spanish,Mediterranean
Cumin Powder,Tex-Mex,Mediterranean
Cumin Powder,Thai,Mediterranean
Cumin Powder,Vietnamese,Mediterranean
Cajun Seasoning,Cajun,Cajun
Candy Cap Mushrooms,American,United States of America
Candy Cap Mushrooms,Asian,United States of America
Candy Cap Mushrooms,Chinese,United States of America
Candy Cap Mushrooms,European,United States of America
Candy Cap Mushrooms,French,United States of America
Cape Cod Seasoning,American,United States of America
Black Cardamom Pods,Asian,China
Black Cardamom Pods,Indian,China
Black Cardamom Pods,Indonesian,China
Black Cardamom Pods,North African,China
Black Cardamom Pods,Scandinavian,China
Ground Carom Seeds,Egyptian,India
Ground Carom Seeds,Indian,India
Ground Carom Seeds,Iranian,India
Ground Carom Seeds,Middle Eastern,India
Ground Carom Seeds,Pakistani,India
Champignon White Button Mushrooms,Asian,North American
Champignon White Button Mushrooms,Chinese,North American
Champignon White Button Mushrooms,European,North American
Champignon White Button Mushrooms,French,North American
Chervil,European,Cuisine of the Caucasus
Chervil,French,Cuisine of the Caucasus
Chile Verde Salt,Indian,India
Chimichurri Blend,Argentinian,Argentina
Chimichurri Blend,Bolivian,Argentina
Chimichurri Blend,Brazilian,Argentina
Chimichurri Blend,Ecuadorian,Argentina
Chimichurri Blend,Mexican,Argentina
Chimichurri Blend,Nicaraguan,Argentina
Chimichurri Blend,Uruguayan,Argentina
Brown Chipotle Chili Powder,Cajun,Mexico
Brown Chipotle Chili Powder,Caribbean,Mexico
Brown Chipotle Chili Powder,Latin American,Mexico
Brown Chipotle Chili Powder,Mexican,Mexico
Brown Chipotle Chili Powder,Tex-Mex,Mexico
Brown Chipotle Chili Powder,Thai,Mexico
Chive,American,European
Chive,Asian,European
Chive,Chinese,European
Chive,European,European
Chive,Indian,European
Cilantro Flakes,American,Mediterranean
Cilantro Flakes,Asian,Mediterranean
Cilantro Flakes,Caribbean,Mediterranean
Cilantro Flakes,Indian,Mediterranean
Cilantro Flakes,Latin American,Mediterranean
Cilantro Flakes,Mexican,Mediterranean
Cilantro Flakes,Vietnamese,Mediterranean
Cinnamon Sticks,American,Indonesia
Cinnamon Sticks,Chinese,Indonesia
Cinnamon Sticks,Indian,Indonesia
Cinnamon Sticks,Indonesian,Indonesia
Cinnamon Sticks,Mexican,Indonesia
Cinnamon Sticks,Spanish,Indonesia
Korintje Cinnamon,American,Indonesia
Korintje Cinnamon,Asian,Indonesia
Korintje Cinnamon,Indian,Indonesia
Korintje Cinnamon,Mexican,Indonesia
Korintje Cinnamon,Moroccan,Indonesia
Korintje Cinnamon,South American,Indonesia
Korintje Cinnamon,Spanish,Indonesia
Whole Cloves,Asian,Indonesia
Whole Cloves,Chinese,Indonesia
Whole Cloves,English,Indonesia
Macaroon Coconut,Asian,Philippines
Macaroon Coconut,Brazilian,Philippines
Macaroon Coconut,Caribbean,Philippines
Macaroon Coconut,Filipino,Philippines
Macaroon Coconut,Indian,Philippines
Macaroon Coconut,Indonesian,Philippines
Macaroon Coconut,Malaysian,Philippines
Macaroon Coconut,Southeast Asian,Philippines
Macaroon Coconut,Thai,Philippines
Macaroon Coconut,Vietnamese,Philippines
Cubeb Pepper,Arabic,Indonesia
Cubeb Pepper,Asian,Indonesia
Cubeb Pepper,Chinese,Indonesia
Cubeb Pepper,Indian,Indonesia
Cubeb Pepper,Indonesian,Indonesia
Cubeb Pepper,Moroccan,Indonesia
Calabrian Chile Peppers,Italian,Italy
Green Cardamom Pods,Asian,India
Green Cardamom Pods,Indian,India
Green Cardamom Pods,Indonesian,India
Green Cardamom Pods,North African,India
Green Cardamom Pods,Scandinavian,India
Ground Cardamom,Guatemalan,India
Cascabel Chile Peppers,Asian,Mexico
Cascabel Chile Peppers,Cajun,Mexico
Cascabel Chile Peppers,Caribbean,Mexico
Cascabel Chile Peppers,Chinese,Mexico
Cascabel Chile Peppers,Indian,Mexico
Cascabel Chile Peppers,Latin American,Mexico
Cascabel Chile Peppers,Mexican,Mexico
Cascabel Chile Peppers,Pakistani,Mexico
Cascabel Chile Peppers,Southwestern American,Mexico
Cascabel Chile Peppers,American,Mexico
Cascabel Chile Peppers,Thai,Mexico
Cauliflower Mushrooms,American,China
Cauliflower Mushrooms,Asian,China
Cauliflower Mushrooms,Chinese,China
Cauliflower Mushrooms,French,China
Cauliflower Mushrooms,Indian,China
Cauliflower Mushrooms,Japanese,China
Celery Seed,American,European
Celery Seed,Cajun,European
Celery Seed,Creole,European
Celery Seed,German,European
Celery Seed,Italian,European
Celery Seed,Russian,European
Chanterelle Mushrooms,American,United States of America
Chanterelle Mushrooms,Asian,United States of America
Chanterelle Mushrooms,Chinese,United States of America
Chanterelle Mushrooms,European,United States of America
Chanterelle Mushrooms,French,United States of America
Chile De Arbol Powder,Asian,Mexico
Chile De Arbol Powder,Caribbean,Mexico
Chile De Arbol Powder,Chinese,Mexico
Chile De Arbol Powder,Mexican,Mexico
Chile De Arbol Powder,Southwestern American,Mexico
Chile De Arbol Powder,Thai,Mexico
Chili Powder,American,Latin American
Chili Powder,Asian,Latin American
Chili Powder,Mexican,Latin American
Chili Powder,Southwestern American,Latin American
Brown Chipotle Chile Peppers,Cajun,Mexico
Brown Chipotle Chile Peppers,Caribbean,Mexico
Brown Chipotle Chile Peppers,Latin American,Mexico
Brown Chipotle Chile Peppers,Mexican,Mexico
Brown Chipotle Chile Peppers,Southwestern American,Mexico
Chipotle Creole Spice Rub,Cajun,United States of America
Chipotle Creole Spice Rub,Creole,United States of America
Saigon cinnamon,American,Vietnam
Saigon cinnamon,Asian,Vietnam
